question_id,question,generated_answer,ground_truth,retrieved_contexts_count,faithfulness_score,relevancy_score,context_recall_score,similarity_score,precision@k,recall@k,mrr,ndcg,bleu,rouge-1,rouge-2,rouge-l,semantic_similarity,overall_score
1,WHO NORMALLY DELIVERS THE OPENING PROLOGUE IN THE PLAY?,The actor who delivers the prologue normally wears the black cloak.,THE ACTOR WEARING THE BLACK CLOAK,10,0.8,0.3,1.0,0.6,0.4,1.0,1.0,1.5,0.0,0.0,0.0,0.0,0.833,0.743
2,WHAT NAME WAS CYNTHIA MORE FAMOUSLY KNOWN BY?,Cynthia was more famously known by the name of Queen Elizabeth.,THE GODDESS DIANA,10,0.8,0.0,1.0,0.333,0.4,1.0,1.0,1.631,0.0,0.0,0.0,0.0,0.433,0.66
3,WHO DOES ECHO WEEP FOR?,"Dựa trên thông tin trong ngữ cảnh, Echo khóc thương cho Narcissus.",NARCISSUS,10,1.0,1.0,0.0,0.0,0.4,1.0,1.0,1.631,0.0,0.0,0.0,0.0,0.338,0.637
4,WHAT DOES A DRINK FROM NARCISSUS'S SPRING CAUSE THE DRINKER TO DO?,"According to the provided information on ""Cynthia's Revels or The Fountain of Self-Love,"" a drink from Narcissus's spring causes the drinkers to ""Grow dotingly enamored of themselves.""",FALL IN LOVE WITH THEMSELVES,10,1.0,1.0,0.6,0.0,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.451,0.625
5,IN WHAT VALLEY DID THE SOLEMN REVELS OF CYNTHIA TAKE PLACE?,The solemn revels of Cynthia took place in the valley of Gargaphie in Greece.,GARGAPHIE IN GREECE,10,1.0,1.0,1.0,0.667,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.623,0.749
6,WHAT DID THE  SYMBOLIC VICES DISGUISE THEMSELVES TO BE?,Cynthia (tượng trưng cho Nữ hoàng Elizabeth) tiết lộ rằng những thói xấu đã ngụy trang thành đức tính.,VIRTUES,10,1.0,1.0,0.0,0.0,0.2,1.0,0.2,0.387,0.0,0.0,0.0,0.0,0.155,0.394
7,WHAT SENTENCE DID CYNTHIA GIVE TO THE SYMBOLIC VICES?,Cynthia sentenced the symbolic vices to make reparation and to purify themselves by bathing in the spring at Mount Helicon.,TO BATHE IN THE SPRING OF HELICON,10,1.0,1.0,1.0,0.571,0.4,1.0,1.0,1.5,0.0,0.0,0.0,0.0,0.467,0.794
8,WHO DRANK FROM THE SPRING AT CYNTHIA'S REVELS?,"The courtiers and ladies assembled for Cynthia's revels, as well as Asotus, drank from the spring at Cynthia's Revels.",ALL THE COURTIERS AND LADIES WHO ATTENDED CYNTHIA'S REVELS,10,1.0,1.0,1.0,0.556,0.4,1.0,1.0,1.631,0.0,0.0,0.0,0.0,0.73,0.832
9,HOW MANY PHASES DID THE COURT COMPLIMENT COMPETITION HAVE?,The court compliment competition had four phases.,4 PHASES,10,1.0,1.0,1.0,0.0,0.4,1.0,1.0,1.387,0.0,0.0,0.0,0.0,0.628,0.741
10,WHO CHALLENGES THE COURTIERS TO COURT COMPLIMENT COMPETITION?,Asotus challenges the courtiers to a court compliment competition.,ASOTUS,10,1.0,1.0,1.0,1.0,0.4,1.0,0.25,0.818,0.0,0.0,0.0,0.0,0.56,0.703
11,How many phases does the competition have?,The competition has four phases.,Four.,10,1.0,1.0,0.0,0.0,0.4,1.0,1.0,1.631,0.0,0.0,0.0,0.0,0.363,0.639
12,Who does Diana represent?,Diana đại diện cho Nữ hoàng Elizabeth.,Queen Elizabeth.,10,1.0,0.0,0.0,0.5,0.2,1.0,1.0,1.0,0.0,0.222,0.0,0.222,0.351,0.505
13,Who is sleeping at the beginning of the play?,Tôi không có đủ dữ kiện để trả lời câu hỏi bạn hãy hỏi tôi câu khác.,Echo,10,0.0,1.0,1.0,0.0,0.2,1.0,0.2,0.387,0.0,0.0,0.0,0.0,0.09,0.388
14,Where is Narcissus's spring?,"Theo thông tin được cung cấp, suối của Narcissus nằm trong thung lũng Gargaphie ở Hy Lạp.",Gargaphie Valley Greece.,10,1.0,1.0,1.0,0.333,0.4,1.0,1.0,1.631,0.0,0.1,0.0,0.1,0.138,0.75
15,Which two societies are aligned in this play?,"Dựa trên thông tin có sẵn, tôi không thể xác định được hai xã hội nào được liên kết trong vở kịch. Tôi không có đủ dữ kiện để trả lời câu hỏi này. Bạn có thể đặt một câu hỏi khác không?",Greek mythology and Queen Elizabeth's Court,10,1.0,1.0,0.2,0.0,0.4,1.0,0.5,1.131,0.0,0.0,0.0,0.0,-0.081,0.515
16,Where do the dancers purify themselves?,The dancers purify themselves by bathing in the spring at Mount Helicon.,Mount Helicon,10,1.0,1.0,1.0,0.5,0.4,1.0,1.0,1.631,0.0,0.286,0.167,0.286,0.376,0.791
17,Which page performs the dialogue?,Tôi không có đủ dữ kiện để trả lời câu hỏi bạn hãy hỏi tôi câu khác,Anaides,10,1.0,0.0,1.0,0.0,0.2,1.0,0.333,0.5,0.0,0.0,0.0,0.0,0.119,0.415
18,Who enters with Mercury?,Cupid enters with Mercury.,Cupid,10,1.0,1.0,0.7,1.0,0.4,1.0,1.0,1.387,0.0,0.4,0.0,0.4,0.577,0.806
19,Who is the 2nd Earl of Essex?,"Trong vở kịch ""Cynthias Revels Or The Fountain of Self-Love"", nhân vật Actaeon có thể đại diện cho Robert Devereux, 2nd Earl of Essex.",Robert Devereux,10,1.0,0.5,1.0,0.5,0.4,1.0,1.0,1.631,0.0,0.08,0.0,0.08,0.429,0.746
20,From where does this play originate? ,"Dựa trên thông tin đã cho, vở kịch ""Cynthia's Revels Or The Fountain of Self-Love"" bắt nguồn từ Hy Lạp, cụ thể là thung lũng Gargaphie.",Church choir,10,1.0,0.0,0.1,0.0,0.2,1.0,0.5,0.631,0.0,0.0,0.0,0.0,0.154,0.359
